group,subject,teacher,day,slot,time,room
ai_101,english,orlova,monday,1,08:30-10:00,a102
cs_101,discrete_math,petrova,monday,1,08:30-10:00,a101
cs_102,programming,smirnov,monday,1,08:30-10:00,lab1
is_101,databases,sokolov,monday,1,08:30-10:00,lab2
se_101,physics,lebedev,monday,1,08:30-10:00,phy_lab
ai_101,physics,lebedev,monday,2,10:15-11:45,phy_lab
cs_101,programming,smirnov,monday,2,10:15-11:45,lab3
cs_102,discrete_math,petrova,monday,2,10:15-11:45,a201
is_101,computer_networks,sokolov,monday,2,10:15-11:45,net_lab
se_101,philosophy,volkova,monday,2,10:15-11:45,seminar2
ai_101,philosophy,volkova,tuesday,1,08:30-10:00,seminar1
cs_101,algorithms,petrova,tuesday,1,08:30-10:00,a101
cs_102,logic_programming,smirnov,tuesday,1,08:30-10:00,lab1
is_101,physics,lebedev,tuesday,1,08:30-10:00,phy_lab
se_101,computer_networks,sokolov,tuesday,1,08:30-10:00,net_lab
ai_101,programming,smirnov,tuesday,3,12:00-13:30,lab2
cs_101,physics,lebedev,tuesday,3,12:00-13:30,phy_lab
cs_102,english,orlova,tuesday,3,12:00-13:30,a102
is_101,project_practice,sokolov,tuesday,3,12:00-13:30,lab1
se_101,discrete_math,petrova,tuesday,3,12:00-13:30,a101
ai_101,discrete_math,petrova,wednesday,2,10:15-11:45,a101
cs_101,logic_programming,smirnov,wednesday,2,10:15-11:45,lab1
cs_102,databases,sokolov,wednesday,2,10:15-11:45,lab2
is_101,physics,lebedev,wednesday,2,10:15-11:45,phy_lab
se_101,english,orlova,wednesday,2,10:15-11:45,a102
ai_101,databases,sokolov,wednesday,4,13:45-15:15,lab3
cs_101,english,orlova,wednesday,4,13:45-15:15,seminar2
cs_102,algorithms,petrova,wednesday,4,13:45-15:15,a201
is_101,project_practice,lebedev,wednesday,4,13:45-15:15,lab2
se_101,programming,smirnov,wednesday,4,13:45-15:15,lab1
ai_101,logic_programming,smirnov,thursday,2,10:15-11:45,lab1
cs_101,databases,sokolov,thursday,2,10:15-11:45,lab2
cs_102,physics,lebedev,thursday,2,10:15-11:45,phy_lab
is_101,english,orlova,thursday,2,10:15-11:45,a102
se_101,algorithms,petrova,thursday,2,10:15-11:45,a101
ai_101,physics,lebedev,thursday,3,12:00-13:30,phy_lab
cs_101,philosophy,volkova,thursday,3,12:00-13:30,seminar2
cs_102,computer_networks,sokolov,thursday,3,12:00-13:30,net_lab
is_101,discrete_math,petrova,thursday,3,12:00-13:30,a101
se_101,logic_programming,smirnov,thursday,3,12:00-13:30,lab2
ai_101,algorithms,petrova,friday,1,08:30-10:00,a201
cs_101,project_practice,lebedev,friday,1,08:30-10:00,lab1
cs_102,philosophy,volkova,friday,1,08:30-10:00,seminar2
is_101,programming,smirnov,friday,1,08:30-10:00,lab3
se_101,databases,sokolov,friday,1,08:30-10:00,lab2
ai_101,project_practice,lebedev,friday,2,10:15-11:45,lab1
cs_101,computer_networks,sokolov,friday,2,10:15-11:45,net_lab
cs_102,algorithms,petrova,friday,2,10:15-11:45,a101
is_101,logic_programming,smirnov,friday,2,10:15-11:45,lab2
se_101,english,orlova,friday,2,10:15-11:45,a102
